source,hand_index,hand,confidence,index_pip,index_dip,middle_pip,middle_dip,ring_pip,ring_dip,pinky_pip,pinky_dip,thumb_index_angle,thumb_mcp_abduction,wrist_lateral_deviation,knuckle_bridge,wrist_knuckle_tilt,wrist_height_delta,mean_finger_curvature,wrist_lateral_deviation_deg,hand_arch_ratio,thumb_lateral_offset,mcp_dome_spread,score_wrist_height,score_finger_curvature,score_thumb_position,score_wrist_lateral,score_hand_arch,severity_wrist_height,severity_finger_curvature,severity_thumb_position,severity_wrist_lateral,severity_hand_arch,composite_score
fexcellent/1.png,0,left,0.8913,116.26,112.93,122.68,121.45,121.96,120.0,118.73,119.52,30.89,46.08,-4.65,160.16,88.57,0.1043,119.55,-4.65,0.3505,0.1325,0.0426,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/1.png,1,right,0.8812,152.12,148.22,150.38,149.93,151.8,145.16,151.05,143.76,43.33,44.35,-2.68,164.06,84.54,-0.0286,149.06,-2.68,0.1895,0.1708,0.0518,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/2.png,0,left,0.9145,140.07,141.81,140.6,142.03,139.55,145.32,138.2,142.95,43.51,55.78,-7.63,166.38,95.77,0.151,140.42,-7.63,0.2096,0.1429,0.042,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/3.png,0,right,0.8967,119.8,122.91,128.11,119.72,124.89,125.66,123.67,127.31,33.96,49.19,8.22,163.99,92.94,0.1231,124.78,8.22,0.3238,0.112,0.0503,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/4.png,0,left,0.9368,135.57,140.57,138.78,133.83,138.27,147.85,134.42,135.85,30.59,45.84,-4.26,159.74,88.35,0.1621,135.94,-4.26,0.302,0.1122,0.051,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/4.png,1,right,0.9299,161.83,156.66,154.45,152.3,155.72,161.24,159.11,158.66,38.36,41.1,7.91,156.6,90.92,0.0501,156.25,7.91,0.385,0.1224,0.0545,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/5.png,0,left,0.9592,154.91,156.37,145.61,150.02,151.39,151.48,151.19,152.13,31.57,52.25,2.33,156.45,93.3,0.1617,151.51,2.33,0.3152,0.1188,0.0744,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/6.png,0,right,0.9282,122.02,120.01,117.47,122.52,121.17,128.91,119.7,122.96,37.09,43.25,-7.24,155.36,93.0,0.1689,121.84,-7.24,0.3572,0.1448,0.0731,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/7.png,0,left,0.9095,169.28,171.42,173.43,171.1,169.97,176.51,169.82,167.93,29.41,43.44,-2.72,162.69,89.91,0.062,168.97,-2.72,0.3095,0.1528,0.0667,100.0,55.1,100.0,100.0,100.0,good,warning,good,good,good,88.8
fexcellent/7.png,1,right,0.9452,161.92,167.21,164.71,160.21,166.99,165.24,162.79,167.23,28.4,44.09,-6.77,159.93,90.93,0.0693,165.4,-6.77,0.2659,0.1667,0.0441,100.0,73.0,100.0,100.0,100.0,good,warning,good,good,good,93.2
fexcellent/8.png,0,left,0.9271,166.15,157.66,158.25,145.59,159.59,150.46,155.53,156.99,35.83,49.37,6.07,162.02,91.29,0.0225,153.5,6.07,0.299,0.1303,0.0617,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/9.png,0,right,0.995,130.57,133.89,137.45,138.23,140.32,134.9,130.19,134.28,35.24,52.91,7.68,153.94,85.5,0.1347,135.8,7.68,0.4223,0.1202,0.0778,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/10.png,0,left,0.9664,130.99,130.66,125.74,130.33,122.95,123.14,121.94,123.49,40.29,54.73,2.94,163.69,87.2,-0.0132,125.62,2.94,0.2116,0.1267,0.0351,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/10.png,1,right,0.8537,142.21,130.44,132.72,131.63,129.77,138.66,135.82,125.65,44.9,54.57,-7.18,162.03,91.17,0.033,130.55,-7.18,0.2734,0.1327,0.0293,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/11.png,0,left,0.8866,120.64,118.19,120.14,120.0,116.26,117.98,114.49,115.49,46.82,59.43,-3.37,161.23,90.38,0.1073,118.9,-3.37,0.3303,0.1904,0.0724,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/12.png,0,right,0.9467,132.83,132.54,134.37,130.18,134.17,134.83,141.07,137.91,30.93,48.43,-8.34,154.41,89.74,-0.0106,134.61,-8.34,0.3602,0.1135,0.0619,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/13.png,0,left,0.9239,153.24,155.15,157.45,156.25,155.25,150.2,151.11,151.19,46.21,64.51,6.06,152.11,94.28,0.0347,152.58,6.06,0.3956,0.1594,0.0633,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/13.png,1,right,0.9339,132.18,128.6,131.55,129.53,135.96,126.18,132.27,137.51,50.17,57.33,5.08,155.3,91.72,0.1247,131.16,5.08,0.3859,0.1669,0.0674,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/14.png,0,left,0.9004,155.58,150.76,152.88,150.63,153.43,150.87,153.95,150.63,69.26,80.19,2.38,163.54,88.62,0.0389,151.27,2.38,0.2572,0.2398,0.0412,100.0,100.0,59.3,100.0,100.0,good,good,warning,good,good,93.9
fexcellent/15.png,0,right,0.9627,144.28,138.43,139.3,134.74,138.8,137.47,145.07,142.6,30.29,42.07,3.51,169.82,92.04,0.0509,140.4,3.51,0.1469,0.1128,0.0391,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/16.png,0,left,0.9399,138.71,131.88,137.78,131.04,132.42,138.0,136.69,133.82,31.49,40.0,-6.26,162.94,87.5,0.0558,133.81,-6.26,0.2629,0.1156,0.0446,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/16.png,1,right,0.9483,147.73,152.18,149.37,158.23,152.7,147.43,153.03,154.97,46.2,60.24,-5.55,166.94,83.96,0.0694,152.66,-5.55,0.1699,0.1709,0.0529,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/17.png,0,left,0.9494,125.74,125.64,125.99,119.95,128.84,128.24,129.91,133.82,43.27,53.51,-0.09,164.14,90.59,0.1023,125.95,-0.09,0.214,0.1919,0.0298,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/18.png,0,right,0.9225,151.7,152.32,149.35,155.74,148.81,153.73,155.78,151.97,40.31,52.09,7.56,156.24,87.44,0.1102,155.94,7.56,0.3935,0.1153,0.0476,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/19.png,0,left,0.8989,119.68,121.05,122.16,126.88,121.18,120.3,117.87,123.93,31.2,42.17,-3.84,163.93,82.99,0.0277,121.53,-3.84,0.235,0.1561,0.0355,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/19.png,1,right,0.8933,147.69,140.68,151.03,146.49,147.47,143.14,145.57,146.05,33.98,47.7,-8.3,165.21,94.42,0.1499,147.54,-8.3,0.2439,0.1274,0.0451,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/20.png,0,left,0.8545,132.72,139.05,141.22,137.12,138.83,139.2,139.52,137.33,26.55,41.42,2.05,169.7,88.32,0.0047,136.27,2.05,0.1539,0.1343,0.0425,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/21.png,0,right,0.8651,118.11,116.76,118.3,116.91,123.91,120.97,123.69,121.95,23.37,42.04,15.5,165.26,86.64,0.023,121.7,15.5,0.2434,0.161,0.0441,100.0,100.0,100.0,78.0,100.0,good,good,good,warning,good,96.7
fexcellent/22.png,0,left,0.8528,143.19,141.19,144.54,142.04,137.67,133.64,137.14,144.91,44.79,61.51,-6.48,157.22,87.16,0.0052,141.55,-6.48,0.3735,0.1525,0.0626,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fexcellent/22.png,1,right,0.8268,120.14,124.64,119.98,123.06,126.99,117.9,130.2,128.66,51.73,57.02,4.75,159.12,89.55,0.0961,123.18,4.75,0.2426,0.1663,0.0468,100.0,100.0,100.0,100.0,100.0,good,good,good,good,good,100.0
fgood/1.png,0,left,0.995,166.01,173.59,167.53,165.5,168.73,165.03,162.11,167.86,37.01,48.76,-1.08,157.22,89.79,0.0267,166.8,-1.08,0.349,0.1179,0.0621,100.0,66.0,100.0,100.0,100.0,good,warning,good,good,good,91.5
fgood/1.png,1,right,0.9078,170.75,168.82,160.07,166.38,164.12,161.26,159.75,166.31,30.92,46.64,-8.23,154.47,88.12,0.0415,165.95,-8.23,0.4092,0.1203,0.0529,100.0,70.3,100.0,100.0,100.0,good,warning,good,good,good,92.6
fgood/2.png,0,left,0.948,134.67,136.46,135.31,136.34,128.9,133.36,135.65,136.93,68.79,70.08,3.41,164.22,93.66,0.0815,134.68,3.41,0.2215,0.2516,0.0468,100.0,100.0,60.6,100.0,100.0,good,good,warning,good,good,94.1
fgood/3.png,0,right,0.9135,131.58,126.48,126.61,125.48,129.95,124.21,130.39,123.92,28.08,37.63,-18.53,164.28,88.66,0.0108,127.2,-18.53,0.2224,0.1536,0.0584,100.0,100.0,100.0,65.9,100.0,good,good,good,warning,good,94.9
fgood/4.png,0,left,0.9279,131.0,132.6,135.5,133.68,134.18,128.99,134.38,131.32,24.98,34.9,2.17,171.93,86.0,0.1426,133.75,2.17,0.0671,0.1741,0.0439,100.0,100.0,100.0,100.0,55.9,good,good,good,good,warning,91.2
fgood/4.png,1,right,0.8461,140.55,139.91,142.28,142.87,145.47,141.71,139.23,140.03,44.56,56.6,7.52,176.1,89.55,0.1004,141.64,7.52,0.069,0.1372,0.0268,100.0,100.0,100.0,100.0,57.5,good,good,good,good,warning,91.5
fgood/5.png,0,left,0.9299,149.09,140.03,145.49,144.51,141.53,149.03,140.97,142.38,67.93,80.08,0.75,160.76,93.95,0.327,143.59,0.75,0.3259,0.2063,0.0444,68.2,100.0,63.1,100.0,100.0,warning,good,warning,good,good,86.5
